Kecamatan; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti
rungkut; 1.950.000.000 ;3;2;160;160;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
sambikerep; 1.950.000.000 ;3;2;160;122;SHM - Sertifikat Hak Milik;3500;;Tidak;Unfurnished;1;Utara;Tidak;3 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.950.000.000 ;4;2;171;128;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;1;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
benowo; 1.950.000.000 ;4;3;176;120;Lainnya (PPJB,Girik,Adat,dll);;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Ya;Baru
sukolilo; 1.950.000.000 ;3;2;180;100;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.950.000.000 ;4;3;180;180;SHM - Sertifikat Hak Milik;;;;Unfurnished;1;;;;;;Bagus
wiyung; 1.950.000.000 ;4;3;180;180;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
sukolilo; 1.950.000.000 ;3;1;184;140;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;Selatan;;;;;Butuh Renovasi
tenggilis mejoyo; 1.950.000.000 ;3;3;198;198;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
wonocolo; 1.950.000.000 ;3;3;198;198;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
rungkut; 1.950.000.000 ;3;2;200;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
tenggilis mejoyo; 1.950.000.000 ;3;2;200;100;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
tenggilis mejoyo; 1.950.000.000 ;3;2;200;100;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;;Tidak;Bagus
rungkut; 1.950.000.000 ;4;2;203;200;SHM - Sertifikat Hak Milik;3500;Tidak;Tidak;Unfurnished;1;Barat;Tidak;2 Mobil;PAM atau PDAM;Tidak;
wiyung; 1.950.000.000 ;4;3;207;220;HGB - Hak Guna Bangunan;;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
rungkut; 1.950.000.000 ;4;2;216;120;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.950.000.000 ;5;3;383;256;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;2;Tenggara;Ya;2 Mobil;;Ya;Bagus
kenjeran; 1.970.000.000 ;3;2;90;156;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Utara;Tidak;;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.970.000.000 ;3;4;90;130;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 1.970.000.000 ;4;3;90;140;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;Selatan;;;;;Baru
benowo; 1.970.000.000 ;5;4;120;176;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
pakal; 1.970.000.000 ;5;4;120;176;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
pakal; 1.970.000.000 ;5;4;120;176;HGB - Hak Guna Bangunan;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
pakal; 1.970.000.000 ;5;4;120;176;HGB - Hak Guna Bangunan;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
sambikerep; 1.970.000.000 ;2;1;128;96;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.970.000.000 ;3;2;128;160;SHM - Sertifikat Hak Milik;3500;;;Unfurnished;2;Selatan;;;;;Baru
wiyung; 1.970.000.000 ;4;2;225;160;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;;Tidak;Bagus
rungkut; 1.970.000.000 ;6;4;252;252;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
sambikerep; 1.980.000.000 ;2;1;90;70;Lainnya (PPJB,Girik,Adat,dll);2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
sambikerep; 1.980.000.000 ;5;5;126;415;SHM - Sertifikat Hak Milik;6600;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus Sekali
sukolilo; 1.980.000.000 ;3;2;165;130;SHM - Sertifikat Hak Milik;3500;Ya;Tidak;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
sukomanunggal; 1.980.000.000 ;4;2;180;150;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.990.000.000 ;3;3;83;110;SHM - Sertifikat Hak Milik;4400;Tidak;Tidak;Unfurnished;2;Timur;Ya;4 Mobil;PAM atau PDAM;Tidak;Baru
mulyorejo; 1.990.000.000 ;3;3;84;110;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;2;Timur;Ya;4 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi
tenggilis mejoyo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru
tenggilis mejoyo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;4 Mobil;PAM atau PDAM;Tidak;Baru
tenggilis mejoyo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;2;Utara;Ya;;PAM atau PDAM;Ya;Baru
tenggilis mejoyo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;2;Utara;Ya;;PAM atau PDAM;Ya;Baru
tenggilis mejoyo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;;;Ya;Unfurnished;2;Utara;Ya;;PAM atau PDAM;Ya;Baru
tenggilis mejoyo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;;;Ya;Unfurnished;2;Utara;Ya;;PAM atau PDAM;Ya;Baru
tenggilis mejoyo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;;;Ya;Unfurnished;2;Utara;Ya;;PAM atau PDAM;Ya;Baru
wonocolo; 1.990.000.000 ;3;3;105;130;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
sambikerep; 1.990.000.000 ;2;2;108;107;HGB - Hak Guna Bangunan;;;Tidak;Unfurnished;1;Utara;Tidak;;;Tidak;Bagus
wonocolo; 1.990.000.000 ;4;4;120;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;Timur;Tidak;;;Tidak;
sukolilo; 1.990.000.000 ;3;4;133;200;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi
tandes; 1.990.000.000 ;6;2;135;300;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Timur;Tidak;;;Tidak;Bagus
wiyung; 1.990.000.000 ;4;3;135;225;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus Sekali
kenjeran; 1.990.000.000 ;3;1;144;144;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;1;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.990.000.000 ;3;2;214;154;SHM - Sertifikat Hak Milik;1300;;;Unfurnished;1;;;;;;Bagus Sekali
kenjeran; 1.990.000.000 ;3;3;234;220;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Barat;Ya;1 Mobil;PAM atau PDAM;Tidak;Baru
kenjeran; 1.990.000.000 ;3;3;234;220;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
tambaksari; 1.990.000.000 ;4;2;272;200;SHM - Sertifikat Hak Milik;4400;;Tidak;Unfurnished;1;Utara;Tidak;;;Tidak;Bagus Sekali
kenjeran; 1.900.000.000 ;2;3;57;150;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;3;Timur;Tidak;;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.900.000.000 ;3;2;72;84;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.900.000.000 ;3;2;72;84;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
wonocolo; 1.900.000.000 ;3;2;72;110;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;;;;;;Baru
pakal; 1.900.000.000 ;3;3;75;150;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
mulyorejo; 1.900.000.000 ;3;3;80;104;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
mulyorejo; 1.900.000.000 ;3;3;80;104;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
mulyorejo; 1.900.000.000 ;3;3;80;104;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
mulyorejo; 1.900.000.000 ;3;3;80;104;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
mulyorejo; 1.900.000.000 ;3;3;80;104;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
mulyorejo; 1.900.000.000 ;3;3;80;104;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
sambikerep; 1.900.000.000 ;3;2;80;103;HGB - Hak Guna Bangunan;3500;Ya;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
sukolilo; 1.900.000.000 ;5;4;82;120;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;;Tidak;2 Mobil;;Tidak;Baru
sambikerep; 1.900.000.000 ;3;2;84;103;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;3;3;84;114;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;;;;;;Baru
wiyung; 1.900.000.000 ;3;2;84;89;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wiyung; 1.900.000.000 ;2;1;84;70;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;;;;;;Sudah Renovasi
sambikerep; 1.900.000.000 ;2;2;90;66;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wiyung; 1.900.000.000 ;3;2;90;156;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;;;;;;Bagus
sukolilo; 1.900.000.000 ;4;4;96;105;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
sukolilo; 1.900.000.000 ;3;3;96;122;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;;Tidak;Baru
sukolilo; 1.900.000.000 ;3;3;96;104;HGB - Hak Guna Bangunan;4400;;;Unfurnished;2;;;;;;Baru
sukolilo; 1.900.000.000 ;3;3;96;104;HGB - Hak Guna Bangunan;4400;;;Unfurnished;2;;;;;;Baru
sukomanunggal; 1.900.000.000 ;6;2;99;99;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Barat;Ya;;PAM atau PDAM;Tidak;Bagus
tenggilis mejoyo; 1.900.000.000 ;3;3;100;130;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
tenggilis mejoyo; 1.900.000.000 ;3;3;100;130;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
wonocolo; 1.900.000.000 ;4;2;100;128;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
kenjeran; 1.900.000.000 ;3;3;102;106;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
sukolilo; 1.900.000.000 ;3;2;102;129;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 1.900.000.000 ;3;3;102;129;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;Utara;Tidak;;;Tidak;Bagus
gayungan; 1.900.000.000 ;5;2;105;200;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;Timur;Tidak;;;Tidak;Bagus
tambaksari; 1.900.000.000 ;4;3;105;175;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
tenggilis mejoyo; 1.900.000.000 ;3;3;107;109;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;Tenggara;Tidak;;PAM atau PDAM;Tidak;Bagus
tenggilis mejoyo; 1.900.000.000 ;3;3;107;109;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Tenggara;Tidak;;;Tidak;Bagus
kenjeran; 1.900.000.000 ;4;3;108;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
kenjeran; 1.900.000.000 ;4;3;108;150;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Ya;Baru
kenjeran; 1.900.000.000 ;3;2;108;126;SHM - Sertifikat Hak Milik;3300;Tidak;Tidak;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.900.000.000 ;4;3;108;150;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;3;4;108;120;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Barat;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
gubeng; 1.900.000.000 ;3;3;111;140;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 1.900.000.000 ;3;3;112;112;Lainnya (PPJB,Girik,Adat,dll);;Ya;Ya;Unfurnished;2;;Ya;;PAM atau PDAM;Tidak;Bagus
tambaksari; 1.900.000.000 ;3;3;112;150;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;2 Mobil;;Tidak;Baru
wiyung; 1.900.000.000 ;4;2;115;200;HGB - Hak Guna Bangunan;3300;;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.900.000.000 ;4;2;120;120;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
sambikerep; 1.900.000.000 ;3;3;120;120;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;Timur;Tidak;2 Mobil;PAM atau PDAM;Tidak;
simokerto; 1.900.000.000 ;4;2;120;180;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
tambaksari; 1.900.000.000 ;5;2;120;135;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;4;2;120;200;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
wonocolo; 1.900.000.000 ;5;2;120;150;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Bagus
wiyung; 1.900.000.000 ;3;2;122;71;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
tambaksari; 1.900.000.000 ;3;4;125;170;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
wiyung; 1.900.000.000 ;3;3;126;142;SHM - Sertifikat Hak Milik;3500;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
rungkut; 1.900.000.000 ;2;1;128;120;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
gayungan; 1.900.000.000 ;5;5;134;100;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
gayungan; 1.900.000.000 ;6;6;135;116;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi
mulyorejo; 1.900.000.000 ;3;3;135;135;Lainnya (PPJB,Girik,Adat,dll);1300;Ya;Ya;Unfurnished;2;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
mulyorejo; 1.900.000.000 ;3;1;135;135;Lainnya (PPJB,Girik,Adat,dll);1300;Ya;Ya;Unfurnished;1;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
semampir; 1.900.000.000 ;3;2;135;108;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
sukolilo; 1.900.000.000 ;3;2;135;105;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
sukomanunggal; 1.900.000.000 ;4;2;135;200;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;4;3;135;171;HGB - Hak Guna Bangunan;3500;;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;5;4;135;180;HGB - Hak Guna Bangunan;3500;;;Unfurnished;2;;;;;;Bagus
wonocolo; 1.900.000.000 ;4;2;135;200;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
gayungan; 1.900.000.000 ;3;2;136;160;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;Timur;;;;;Bagus
tandes; 1.900.000.000 ;4;3;136;178;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;2;Barat Laut;Tidak;;;Tidak;Bagus
benowo; 1.900.000.000 ;3;4;140;180;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Butuh Renovasi
sukomanunggal; 1.900.000.000 ;3;1;140;200;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
rungkut; 1.900.000.000 ;2;2;144;56;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;;Tidak;Bagus
rungkut; 1.900.000.000 ;2;2;144;56;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;
rungkut; 1.900.000.000 ;2;2;150;150;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;
rungkut; 1.900.000.000 ;3;2;150;150;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;
rungkut; 1.900.000.000 ;2;2;150;150;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
sukomanunggal; 1.900.000.000 ;2;1;150;150;Lainnya (PPJB,Girik,Adat,dll);;;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
wiyung; 1.900.000.000 ;3;3;152;158;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;3;;Ya;4 Mobil;PAM atau PDAM;Tidak;Bagus
kenjeran; 1.900.000.000 ;3;2;153;85;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;3;2;153;125;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;;;;;;Sudah Renovasi
wiyung; 1.900.000.000 ;3;2;157;100;SHM - Sertifikat Hak Milik;3500;;;Unfurnished;1;Selatan;;;;;Bagus
benowo; 1.900.000.000 ;5;2;160;130;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
wiyung; 1.900.000.000 ;3;2;160;200;HGB - Hak Guna Bangunan;3500;;Tidak;Unfurnished;2;Utara;Tidak;;PAM atau PDAM;Tidak;Butuh Renovasi
lakarsantri; 1.900.000.000 ;4;2;161;250;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;
sambikerep; 1.900.000.000 ;5;3;162;240;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
sambikerep; 1.900.000.000 ;5;3;162;240;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
sukomanunggal; 1.900.000.000 ;6;2;162;160;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;;;;;;Butuh Renovasi
wonocolo; 1.900.000.000 ;4;2;163;160;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
sukolilo; 1.900.000.000 ;2;1;165;124;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
tenggilis mejoyo; 1.900.000.000 ;4;1;167;167;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;4;3;175;235;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.900.000.000 ;3;2;180;123;SHM - Sertifikat Hak Milik;4400;Ya;Tidak;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.900.000.000 ;4;2;180;300;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Timur;Tidak;;;Tidak;Bagus
tambaksari; 1.900.000.000 ;4;1;184;190;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;Timur;Tidak;;PAM atau PDAM;Tidak;
tambaksari; 1.900.000.000 ;4;4;184;190;SHM - Sertifikat Hak Milik;;;Ya;Unfurnished;1;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
sambikerep; 1.900.000.000 ;3;1;195;150;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
gubeng; 1.900.000.000 ;7;4;200;250;Lainnya (PPJB,Girik,Adat,dll);;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 1.900.000.000 ;5;4;200;138;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
rungkut; 1.900.000.000 ;5;4;200;138;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.900.000.000 ;5;2;200;200;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;Barat;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
tenggilis mejoyo; 1.900.000.000 ;3;3;200;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
tenggilis mejoyo; 1.900.000.000 ;2;1;200;150;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;Utara;;;;;Butuh Renovasi
wiyung; 1.900.000.000 ;3;3;200;200;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.900.000.000 ;5;3;201;290;SHM - Sertifikat Hak Milik;4400;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
wonocolo; 1.900.000.000 ;5;4;204;180;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wonocolo; 1.900.000.000 ;5;4;204;180;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.900.000.000 ;4;3;207;220;HGB - Hak Guna Bangunan;3500;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
wiyung; 1.900.000.000 ;3;3;208;300;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
tambaksari; 1.900.000.000 ;5;4;210;175;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
