Kecamatan; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti
rungkut; 650.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 650.000.000 ;3;1;90;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 650.000.000 ;3;1;90;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
tambaksari; 650.000.000 ;3;2;92;150;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
benowo; 650.000.000 ;2;1;95;50;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 650.000.000 ;2;2;100;80;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;
tandes; 650.000.000 ;4;2;100;100;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 650.000.000 ;3;1;110;60;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 650.000.000 ;3;3;128;125;SHM - Sertifikat Hak Milik;3500;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Sudah Renovasi
benowo; 650.000.000 ;2;1;134;100;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Barat;Tidak;;;Tidak;Butuh Renovasi
wiyung; 650.000.000 ;3;2;225;210;SHM - Sertifikat Hak Milik;3300;;Ya;Unfurnished;1;Selatan;Ya;;PAM atau PDAM;Tidak;Butuh Renovasi
wiyung; 650.000.000 ;3;2;257;122;SHM - Sertifikat Hak Milik;4400;;;Unfurnished;1;Selatan;;;;;Bagus
rungkut; 655.000.000 ;3;2;48;63;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 670.000.000 ;3;2;50;120;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
kenjeran; 670.000.000 ;4;2;160;120;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
